,D,P,C,O,F,G
2395,Bacteria,Proteobacteria,Gammaproteobacteria,F9P41300-M23,,
2396,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Mangrovibacter
2397,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Neorickettsia
2398,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Niastella
2399,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,Thiohalophilus
2400,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia
2401,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Xenococcaceae,Xenococcus PCC-7305
2402,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas
2403,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Tianweitania
2404,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae ND3007 group
2405,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Dermatophilaceae,Dermatophilus
2406,Bacteria,Firmicutes,Clostridia,MAT-CR-H4-C10,,
2407,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,
2408,Bacteria,Proteobacteria,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,Candidatus Maribeggiatoa
2409,Bacteria,Planctomycetota,Brocadiae,Brocadiales,,
2410,Bacteria,Bacteroidota,Kryptonia,Kryptoniales,Kryptoniaceae,Candidatus Kryptobacter
2411,Bacteria,Desulfobacterota,Dissulfuribacteria,Dissulfuribacterales,Dissulfuribacteraceae,Dissulfurimicrobium
2412,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Enteroscipio
2413,Archaea,Thermoplasmatota,Thermoplasmata,SG8-5,,
2414,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus
2415,Bacteria,Firmicutes,BRH-c20a,,,
2416,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aureitalea
2417,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ponticoccus
2418,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family XI,Gallicola
2419,Bacteria,Desulfobacterota,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfobacterium
2420,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas
2421,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,,
2422,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Colidextribacter
2423,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Aminobacterium
2424,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Isosphaera
2425,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium] eligens group
2426,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Nautella
2427,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Dyadobacter
2428,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Gemmobacter
2429,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured
2430,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiales Incertae Sedis,Candidatus Branchiomonas
2431,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Angulomicrobium
2432,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,uncultured
2433,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Blattabacteriaceae,Candidatus Brownia
2434,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Galbibacter
2435,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,TM7x
2436,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia
2437,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatirosa
2438,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus
2439,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,Thermosinus
2440,Archaea,Thermoplasmatota,Thermoplasmata,Acidiprofundales,Aciduliprofundaceae,Aciduliprofundum
2441,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,ADurb.Bin120
